n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,100,k-means++,0,1290.0,0.19321820735931397
3,2,100,mb-kmeans,100,6060.0,0.1260143995285034
3,2,100,mb-kmeans,500,6060.0,0.10969974994659423
3,2,100,mb-kmeans,1000,6060.0,0.18712594509124755
3,2,100,rpkm,1,12.6,0.21080071926116944
3,2,100,rpkm,2,55.2,0.08506221771240234
3,2,100,rpkm,3,220.8,0.00937347412109375
3,2,100,rpkm,4,614.1,0.03520643711090088
3,2,100,rpkm,5,1018.2,0.0630842924118042
3,2,100,rpkm,6,1265.7,0.06912226676940918
3,2,1000,k-means++,0,12000.0,0.011805963516235352
3,2,1000,mb-kmeans,100,7800.0,0.14745965003967285
3,2,1000,mb-kmeans,500,31800.0,0.1636514186859131
3,2,1000,mb-kmeans,1000,60600.0,0.24523212909698486
3,2,1000,rpkm,1,19.2,0.007636141777038574
3,2,1000,rpkm,2,73.5,0.014999008178710938
3,2,1000,rpkm,3,404.4,0.027190351486206056
3,2,1000,rpkm,4,845.4,0.0472337007522583
3,2,1000,rpkm,5,2554.8,0.0784334659576416
3,2,1000,rpkm,6,4449.0,0.12123737335205079
3,2,10000,k-means++,0,135000.0,0.01524960994720459
3,2,10000,mb-kmeans,100,36000.0,1.2768771648406982
3,2,10000,mb-kmeans,500,60000.0,0.4489985227584839
3,2,10000,mb-kmeans,1000,114000.0,0.49373621940612794
3,2,10000,rpkm,1,21.9,0.007472634315490723
3,2,10000,rpkm,2,77.7,0.01620621681213379
3,2,10000,rpkm,3,421.2,0.028023076057434083
3,2,10000,rpkm,4,1025.4,0.050267910957336424
3,2,10000,rpkm,5,3451.5,0.09496469497680664
3,2,10000,rpkm,6,19350.0,0.18261573314666749
3,2,100000,k-means++,0,1320000.0,0.05559999942779541
3,2,100000,mb-kmeans,100,300000.0,3.2947521924972536
3,2,100000,mb-kmeans,500,390000.0,5.005865001678467
3,2,100000,mb-kmeans,1000,360000.0,2.1236531496047975
3,2,100000,rpkm,1,22.2,0.03511195182800293
3,2,100000,rpkm,2,85.5,0.07545828819274902
3,2,100000,rpkm,3,424.5,0.11880161762237548
3,2,100000,rpkm,4,1130.1,0.17417051792144775
3,2,100000,rpkm,5,5207.1,0.27043638229370115
3,2,100000,rpkm,6,15806.4,0.351883864402771
3,2,1000000,k-means++,0,12600000.0,0.3156655073165894
3,2,1000000,mb-kmeans,100,3000000.0,65.83881938457489
3,2,1000000,mb-kmeans,500,3000000.0,14.054267644882202
3,2,1000000,mb-kmeans,1000,3000000.0,5.823736310005188
3,2,1000000,rpkm,1,19.8,0.24699115753173828
3,2,1000000,rpkm,2,75.9,0.5012027025222778
3,2,1000000,rpkm,3,388.5,0.75366690158844
3,2,1000000,rpkm,4,1524.9,1.1774543285369874
3,2,1000000,rpkm,5,3885.0,1.5901322841644288
3,2,1000000,rpkm,6,8718.9,1.754189658164978
3,4,100,k-means++,0,1320.0,0.006867122650146484
3,4,100,mb-kmeans,100,7440.0,0.10479187965393066
3,4,100,mb-kmeans,500,7440.0,0.1105224609375
3,4,100,mb-kmeans,1000,7440.0,0.12351751327514648
3,4,100,rpkm,1,86.4,0.006610393524169922
3,4,100,rpkm,2,402.6,0.013646912574768067
3,4,100,rpkm,3,1136.7,0.026321768760681152
3,4,100,rpkm,4,1432.2,0.032428860664367676
3,4,100,rpkm,5,1432.2,0.036169242858886716
3,4,100,rpkm,6,1432.2,0.0369985818862915
3,4,1000,k-means++,0,14400.0,0.010524225234985352
3,4,1000,mb-kmeans,100,10500.0,0.1541146993637085
3,4,1000,mb-kmeans,500,39300.0,0.15246708393096925
3,4,1000,mb-kmeans,1000,65700.0,0.16248047351837158
3,4,1000,rpkm,1,101.4,0.0063265800476074215
3,4,1000,rpkm,2,798.0,0.015625882148742675
3,4,1000,rpkm,3,3563.7,0.0431309700012207
3,4,1000,rpkm,4,9672.3,0.10807344913482667
3,4,1000,rpkm,5,14076.6,0.196512770652771
3,4,1000,rpkm,6,15873.0,0.28139705657958985
3,4,10000,k-means++,0,141000.0,0.019483494758605956
3,4,10000,mb-kmeans,100,45000.0,1.1092027425765991
3,4,10000,mb-kmeans,500,66000.0,0.25086848735809325
3,4,10000,mb-kmeans,1000,93000.0,0.3456469297409058
3,4,10000,rpkm,1,133.2,0.008099675178527832
3,4,10000,rpkm,2,787.5,0.021366143226623537
3,4,10000,rpkm,3,6866.4,0.07788524627685547
3,4,10000,rpkm,4,23596.2,0.29302995204925536
3,4,10000,rpkm,5,65695.2,0.8624152421951294
3,4,10000,rpkm,6,95147.1,1.7062464714050294
3,4,100000,k-means++,0,1380000.0,0.06573221683502198
3,4,100000,mb-kmeans,100,300000.0,12.322101497650147
3,4,100000,mb-kmeans,500,390000.0,0.9978089094161987
3,4,100000,mb-kmeans,1000,450000.0,4.696100783348084
3,4,100000,rpkm,1,171.6,0.04157986640930176
3,4,100000,rpkm,2,956.1,0.08136293888092042
3,4,100000,rpkm,3,7063.2,0.17236435413360596
3,4,100000,rpkm,4,38176.8,0.5227924823760987
3,4,100000,rpkm,5,122218.8,2.65136559009552
3,4,100000,rpkm,6,362957.7,8.04089801311493
3,4,1000000,k-means++,0,13800000.0,0.46227867603302003
3,4,1000000,mb-kmeans,100,3000000.0,115.40763030052184
3,4,1000000,mb-kmeans,500,3300000.0,32.728278803825376
3,4,1000000,mb-kmeans,1000,3000000.0,4.87590868473053
3,4,1000000,rpkm,1,139.8,0.34040853977203367
3,4,1000000,rpkm,2,908.1,0.6475894212722778
3,4,1000000,rpkm,3,7728.3,1.0862290859222412
3,4,1000000,rpkm,4,48231.0,2.0432820558547973
3,4,1000000,rpkm,5,217120.2,6.604067039489746
3,4,1000000,rpkm,6,1574719.2,25.732486534118653
3,8,100,k-means++,0,1590.0,0.005605936050415039
3,8,100,mb-kmeans,100,7260.0,0.11367974281311036
3,8,100,mb-kmeans,500,7260.0,0.12401854991912842
3,8,100,mb-kmeans,1000,7260.0,0.1297018051147461
3,8,100,rpkm,1,828.9,0.007546448707580566
3,8,100,rpkm,2,1635.6,0.017740392684936525
3,8,100,rpkm,3,1635.6,0.02478950023651123
3,8,100,rpkm,4,1635.6,0.024524807929992676
3,8,100,rpkm,5,1635.6,0.024941062927246092
3,8,100,rpkm,6,1635.6,0.026183438301086426
3,8,1000,k-means++,0,18900.0,0.012702560424804688
3,8,1000,mb-kmeans,100,13200.0,0.1813652276992798
3,8,1000,mb-kmeans,500,35100.0,0.13144395351409913
3,8,1000,mb-kmeans,1000,74400.0,0.17636876106262206
3,8,1000,rpkm,1,3423.9,0.013495397567749024
3,8,1000,rpkm,2,9336.9,0.0553727388381958
3,8,1000,rpkm,3,22663.2,0.13160090446472167
3,8,1000,rpkm,4,22962.9,0.20654692649841308
3,8,1000,rpkm,5,22962.9,0.22335410118103027
3,8,1000,rpkm,6,22962.9,0.21117811203002929
3,8,10000,k-means++,0,171000.0,0.022191524505615234
3,8,10000,mb-kmeans,100,54000.0,0.907320237159729
3,8,10000,mb-kmeans,500,69000.0,0.21069176197052003
3,8,10000,mb-kmeans,1000,123000.0,0.5110025644302368
3,8,10000,rpkm,1,3569.4,0.021161580085754396
3,8,10000,rpkm,2,16826.4,0.13966147899627684
3,8,10000,rpkm,3,75494.1,0.6401452541351318
3,8,10000,rpkm,4,108387.0,1.5062004804611206
3,8,10000,rpkm,5,108387.0,2.4492008209228517
3,8,10000,rpkm,6,108387.0,2.2808920621871946
3,8,100000,k-means++,0,3390000.0,0.08778808116912842
3,8,100000,mb-kmeans,100,300000.0,12.733870244026184
3,8,100000,mb-kmeans,500,600000.0,10.78264079093933
3,8,100000,mb-kmeans,1000,690000.0,8.17215142250061
3,8,100000,rpkm,1,4092.0,0.06969757080078125
3,8,100000,rpkm,2,22341.6,0.30852689743041994
3,8,100000,rpkm,3,324344.1,2.6260441064834597
3,8,100000,rpkm,4,868275.9,10.712608909606933
3,8,100000,rpkm,5,1168206.6,22.227192449569703
3,8,100000,rpkm,6,1198206.3,28.063360953330992
3,8,1000000,k-means++,0,18900000.0,0.49150686264038085
3,8,1000000,mb-kmeans,100,3600000.0,139.4749268770218
3,8,1000000,mb-kmeans,500,4800000.0,56.478637957572936
3,8,1000000,mb-kmeans,1000,3900000.0,15.35114917755127
3,8,1000000,rpkm,1,4439.7,0.6345246076583863
3,8,1000000,rpkm,2,30281.1,1.2863242149353027
3,8,1000000,rpkm,3,774274.8,6.799289584159851
3,8,1000000,rpkm,4,4773078.0,44.25093047618866
3,8,1000000,rpkm,5,7760859.6,82.89147086143494
3,8,1000000,rpkm,6,10760814.9,170.2685903787613
9,2,100,k-means++,0,2520.0,0.010007262229919434
9,2,100,mb-kmeans,100,18900.0,0.24518272876739503
9,2,100,mb-kmeans,500,18900.0,0.24945521354675293
9,2,100,mb-kmeans,1000,18900.0,0.2562714099884033
9,2,100,rpkm,1,214.2,0.010702133178710938
9,2,100,rpkm,2,613.8,0.02456972599029541
9,2,100,rpkm,3,1230.3,0.030598902702331544
9,2,100,rpkm,4,1991.7,0.04249727725982666
9,2,100,rpkm,5,3271.5,0.06255197525024414
9,2,100,rpkm,6,4194.0,0.07189445495605469
9,2,1000,k-means++,0,27900.0,0.022360587120056154
9,2,1000,mb-kmeans,100,28800.0,0.34323413372039796
9,2,1000,mb-kmeans,500,94500.0,0.3221321105957031
9,2,1000,mb-kmeans,1000,155700.0,0.23921737670898438
9,2,1000,rpkm,1,189.0,0.018174004554748536
9,2,1000,rpkm,2,647.1,0.03364517688751221
9,2,1000,rpkm,3,1618.2,0.04088413715362549
9,2,1000,rpkm,4,5236.2,0.05968499183654785
9,2,1000,rpkm,5,15316.2,0.10643925666809081
9,2,1000,rpkm,6,26571.6,0.18223283290863038
9,2,10000,k-means++,0,333000.0,0.061838960647583006
9,2,10000,mb-kmeans,100,144000.0,0.8210520267486572
9,2,10000,mb-kmeans,500,171000.0,0.3920638084411621
9,2,10000,mb-kmeans,1000,261000.0,0.40330278873443604
9,2,10000,rpkm,1,259.2,0.01425032615661621
9,2,10000,rpkm,2,792.9,0.024951457977294922
9,2,10000,rpkm,3,2294.1,0.04650611877441406
9,2,10000,rpkm,4,8146.8,0.07861092090606689
9,2,10000,rpkm,5,21387.6,0.1579418182373047
9,2,10000,rpkm,6,42599.7,0.31698505878448485
9,2,100000,k-means++,0,3150000.0,0.22985663414001464
9,2,100000,mb-kmeans,100,1080000.0,9.069950079917907
9,2,100000,mb-kmeans,500,1170000.0,1.3419768810272217
9,2,100000,mb-kmeans,1000,1260000.0,3.4708641290664675
9,2,100000,rpkm,1,234.0,0.07275221347808838
9,2,100000,rpkm,2,779.4,0.15372841358184813
9,2,100000,rpkm,3,3006.0,0.2001023530960083
9,2,100000,rpkm,4,7215.3,0.3060927391052246
9,2,100000,rpkm,5,26007.3,0.4192999839782715
9,2,100000,rpkm,6,57042.9,0.6587481021881103
9,2,1000000,k-means++,0,41400000.0,1.0926672220230103
9,2,1000000,mb-kmeans,100,9000000.0,45.738180661201476
9,2,1000000,mb-kmeans,500,9000000.0,5.8683960199356076
9,2,1000000,mb-kmeans,1000,9000000.0,3.863291335105896
9,2,1000000,rpkm,1,249.3,0.5997889280319214
9,2,1000000,rpkm,2,877.5,0.8895467519760132
9,2,1000000,rpkm,3,2994.3,1.2512235164642334
9,2,1000000,rpkm,4,8188.2,1.7456673383712769
9,2,1000000,rpkm,5,31131.0,2.384663391113281
9,2,1000000,rpkm,6,89721.9,2.8409550189971924
9,4,100,k-means++,0,3150.0,0.005335569381713867
9,4,100,mb-kmeans,100,21600.0,0.11903645992279052
9,4,100,mb-kmeans,500,21600.0,0.11623294353485107
9,4,100,mb-kmeans,1000,21600.0,0.1204948902130127
9,4,100,rpkm,1,279.9,0.005316257476806641
9,4,100,rpkm,2,1545.3,0.013099312782287598
9,4,100,rpkm,3,3068.1,0.021402597427368164
9,4,100,rpkm,4,4455.0,0.0327949047088623
9,4,100,rpkm,5,4633.2,0.0424055814743042
9,4,100,rpkm,6,4633.2,0.043209385871887204
9,4,1000,k-means++,0,67500.0,0.014113950729370116
9,4,1000,mb-kmeans,100,37800.0,0.20191314220428466
9,4,1000,mb-kmeans,500,119700.0,0.16766927242279053
9,4,1000,mb-kmeans,1000,219600.0,0.1994868516921997
9,4,1000,rpkm,1,352.8,0.007900881767272949
9,4,1000,rpkm,2,3139.2,0.01715404987335205
9,4,1000,rpkm,3,16412.4,0.04363281726837158
9,4,1000,rpkm,4,71328.6,0.1135871410369873
9,4,1000,rpkm,5,107136.0,0.1930241823196411
9,4,1000,rpkm,6,120608.1,0.2734020233154297
9,4,10000,k-means++,0,801000.0,0.04106142520904541
9,4,10000,mb-kmeans,100,153000.0,0.891008448600769
9,4,10000,mb-kmeans,500,198000.0,0.2744534969329834
9,4,10000,mb-kmeans,1000,288000.0,0.332740330696106
9,4,10000,rpkm,1,403.2,0.009051966667175292
9,4,10000,rpkm,2,3978.9,0.0227311372756958
9,4,10000,rpkm,3,33183.0,0.07764637470245361
9,4,10000,rpkm,4,255006.9,0.27397794723510743
9,4,10000,rpkm,5,828768.6,0.8484446287155152
