n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,4000,k-means++,0,118800.0,0.07805955410003662
3,2,4000,mb-kmeans,100.0,24480.0,0.04896271228790283
3,2,4000,mb-kmeans,500.0,29850.0,0.03318872451782227
3,2,4000,mb-kmeans,1000.0,39900.0,0.028922843933105468
3,2,4000,rpkm,1.0,21.3,0.07568674087524414
3,2,4000,rpkm,2.0,76.2,0.03509163856506348
3,2,4000,rpkm,3.0,441.0,0.00998530387878418
3,2,4000,rpkm,4.0,1752.3,0.015534353256225587
3,2,4000,rpkm,5.0,3624.0,0.025913143157958986
3,2,4000,rpkm,6.0,6252.6,0.05166130065917969
3,2,12000,k-means++,0,309600.0,0.007666373252868652
3,2,12000,mb-kmeans,100.0,72330.0,0.06744875907897949
3,2,12000,mb-kmeans,500.0,75300.0,0.06494331359863281
3,2,12000,mb-kmeans,1000.0,82200.0,0.07163705825805664
3,2,12000,rpkm,1.0,22.8,0.005350136756896972
3,2,12000,rpkm,2.0,72.6,0.008503103256225586
3,2,12000,rpkm,3.0,553.2,0.012884759902954101
3,2,12000,rpkm,4.0,1706.1,0.019155669212341308
3,2,12000,rpkm,5.0,3312.3,0.03170790672302246
3,2,12000,rpkm,6.0,9488.4,0.06272385120391846
3,2,40000,k-means++,0,1224000.0,0.011464929580688477
3,2,40000,mb-kmeans,100.0,240300.0,0.11018202304840088
3,2,40000,mb-kmeans,500.0,242700.0,0.10331566333770752
3,2,40000,mb-kmeans,1000.0,245700.0,0.07444853782653808
3,2,40000,rpkm,1.0,22.8,0.010273194313049317
3,2,40000,rpkm,2.0,76.2,0.01732470989227295
3,2,40000,rpkm,3.0,514.5,0.023644852638244628
3,2,40000,rpkm,4.0,2250.6,0.034830021858215335
3,2,40000,rpkm,5.0,4268.1,0.0514890193939209
3,2,40000,rpkm,6.0,11573.4,0.09055118560791016
3,2,120000,k-means++,0,3492000.0,0.024644875526428224
3,2,120000,mb-kmeans,100.0,720300.0,0.39932401180267335
3,2,120000,mb-kmeans,500.0,721950.0,0.18304641246795655
3,2,120000,mb-kmeans,1000.0,724800.0,0.13102319240570068
3,2,120000,rpkm,1.0,23.4,0.025721216201782228
3,2,120000,rpkm,2.0,74.7,0.04064004421234131
3,2,120000,rpkm,3.0,516.0,0.05698070526123047
3,2,120000,rpkm,4.0,2264.1,0.0759199619293213
3,2,120000,rpkm,5.0,4242.0,0.09965109825134277
3,2,120000,rpkm,6.0,10176.6,0.15129523277282714
3,2,400000,k-means++,0,11880000.0,0.06639337539672852
3,2,400000,mb-kmeans,100.0,2400300.0,0.9851081132888794
3,2,400000,mb-kmeans,500.0,2401950.0,0.6004363059997558
3,2,400000,mb-kmeans,1000.0,2403900.0,0.267687463760376
3,2,400000,rpkm,1.0,24.0,0.07894654273986816
3,2,400000,rpkm,2.0,75.6,0.12444381713867188
3,2,400000,rpkm,3.0,526.5,0.16543643474578856
3,2,400000,rpkm,4.0,2338.2,0.21074562072753905
3,2,400000,rpkm,5.0,4444.5,0.2713276147842407
3,2,400000,rpkm,6.0,10929.3,0.35396225452423097
3,2,1200000,k-means++,0,36720000.0,0.1936028242111206
3,2,1200000,mb-kmeans,100.0,7200300.0,2.963354969024658
3,2,1200000,mb-kmeans,500.0,7201650.0,0.6950102090835572
3,2,1200000,mb-kmeans,1000.0,7203000.0,0.5231624603271484
3,2,1200000,rpkm,1.0,23.7,0.21532323360443115
3,2,1200000,rpkm,2.0,73.5,0.3353321313858032
3,2,1200000,rpkm,3.0,473.4,0.47219171524047854
3,2,1200000,rpkm,4.0,1798.5,0.6318949699401856
3,2,1200000,rpkm,5.0,4487.4,0.8088610172271729
3,2,1200000,rpkm,6.0,10182.9,1.0271047592163085
3,2,4000000,k-means++,0,100800000.0,0.6359222173690796
