n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
3,2,100.0,rpkm,1,0.04
3,2,100.0,rpkm,2,0.05
3,2,100.0,rpkm,3,0.14
3,2,100.0,rpkm,4,0.36
3,2,100.0,rpkm,5,0.75
3,2,100.0,rpkm,6,0.95
3,2,1000.0,rpkm,1,0.004
3,2,1000.0,rpkm,2,0.008
3,2,1000.0,rpkm,3,0.02
3,2,1000.0,rpkm,4,0.053
3,2,1000.0,rpkm,5,0.149
3,2,1000.0,rpkm,6,0.39
3,2,10000.0,rpkm,1,0.0004
3,2,10000.0,rpkm,2,0.0009
3,2,10000.0,rpkm,3,0.0025
3,2,10000.0,rpkm,4,0.007
3,2,10000.0,rpkm,5,0.0218
3,2,10000.0,rpkm,6,0.0679
3,2,100000.0,rpkm,1,4e-05
3,2,100000.0,rpkm,2,0.0001
3,2,100000.0,rpkm,3,0.00027
3,2,100000.0,rpkm,4,0.0008
3,2,100000.0,rpkm,5,0.00264
3,2,100000.0,rpkm,6,0.00887
3,2,1000000.0,rpkm,1,3e-06
3,2,1000000.0,rpkm,2,9e-06
3,2,1000000.0,rpkm,3,2.8e-05
3,2,1000000.0,rpkm,4,9.4e-05
3,2,1000000.0,rpkm,5,0.000503
3,2,1000000.0,rpkm,6,0.001794
3,4,100.0,rpkm,1,0.05
3,4,100.0,rpkm,2,0.48
3,4,100.0,rpkm,3,0.65
3,4,100.0,rpkm,4,0.98
3,4,100.0,rpkm,5,1.0
3,4,100.0,rpkm,6,1.0
3,4,1000.0,rpkm,1,0.016
3,4,1000.0,rpkm,2,0.094
3,4,1000.0,rpkm,3,0.285
3,4,1000.0,rpkm,4,0.868
3,4,1000.0,rpkm,5,0.983
3,4,1000.0,rpkm,6,1.0
3,4,10000.0,rpkm,1,0.0013
3,4,10000.0,rpkm,2,0.0078
3,4,10000.0,rpkm,3,0.0582
3,4,10000.0,rpkm,4,0.2628
3,4,10000.0,rpkm,5,0.8636
3,4,10000.0,rpkm,6,0.9549
3,4,100000.0,rpkm,1,0.00016
3,4,100000.0,rpkm,2,0.00095
3,4,100000.0,rpkm,3,0.00996
3,4,100000.0,rpkm,4,0.06196
3,4,100000.0,rpkm,5,0.2602
3,4,100000.0,rpkm,6,0.8919
