n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
3,2,4000,rpkm,1,0.000975
3,2,4000,rpkm,2,0.003
3,2,4000,rpkm,3,0.008225
3,2,4000,rpkm,4,0.023875
3,2,4000,rpkm,5,0.0678
3,2,4000,rpkm,6,0.168425
3,2,12000,rpkm,1,0.0003333333333333333
3,2,12000,rpkm,2,0.0010416666666666667
3,2,12000,rpkm,3,0.0029416666666666666
3,2,12000,rpkm,4,0.008825
3,2,12000,rpkm,5,0.027008333333333336
3,2,12000,rpkm,6,0.07699166666666665
3,2,40000,rpkm,1,0.0001
3,2,40000,rpkm,2,0.00031749999999999997
3,2,40000,rpkm,3,0.0009275
3,2,40000,rpkm,4,0.0028525
3,2,40000,rpkm,5,0.009104999999999999
3,2,40000,rpkm,6,0.028665000000000003
3,2,120000,rpkm,1,3.4166666666666666e-05
3,2,120000,rpkm,2,0.00010833333333333333
3,2,120000,rpkm,3,0.0003191666666666667
3,2,120000,rpkm,4,0.000995
3,2,120000,rpkm,5,0.0032375
3,2,120000,rpkm,6,0.0107325
3,2,400000,rpkm,1,1.0500000000000001e-05
3,2,400000,rpkm,2,3.2749999999999996e-05
3,2,400000,rpkm,3,9.675000000000001e-05
3,2,400000,rpkm,4,0.00030625
3,2,400000,rpkm,5,0.0010155
3,2,400000,rpkm,6,0.00346775
3,2,1200000,rpkm,1,3.5833333333333335e-06
3,2,1200000,rpkm,2,1.0333333333333333e-05
3,2,1200000,rpkm,3,3.0249999999999997e-05
3,2,1200000,rpkm,4,9.508333333333333e-05
3,2,1200000,rpkm,5,0.00031708333333333333
3,2,1200000,rpkm,6,0.0011016666666666668
3,2,4000000,rpkm,1,7.75e-07
3,2,4000000,rpkm,2,1.65e-06
3,2,4000000,rpkm,3,4.175e-06
3,2,4000000,rpkm,4,1.1725e-05
3,2,4000000,rpkm,5,3.66e-05
3,2,4000000,rpkm,6,0.00012415
3,4,4000,rpkm,1,0.0025
3,4,4000,rpkm,2,0.010825000000000001
3,4,4000,rpkm,3,0.037925
3,4,4000,rpkm,4,0.11997500000000001
3,4,4000,rpkm,5,0.296375
3,4,4000,rpkm,6,0.5543
3,4,12000,rpkm,1,0.0008833333333333334
3,4,12000,rpkm,2,0.004091666666666667
3,4,12000,rpkm,3,0.015516666666666668
3,4,12000,rpkm,4,0.05495833333333333
3,4,12000,rpkm,5,0.16695833333333335
3,4,12000,rpkm,6,0.37995833333333334
3,4,40000,rpkm,1,0.0002775
3,4,40000,rpkm,2,0.0013275000000000001
3,4,40000,rpkm,3,0.0052825
3,4,40000,rpkm,4,0.0207525
3,4,40000,rpkm,5,0.07592750000000001
3,4,40000,rpkm,6,0.2204
3,4,120000,rpkm,1,0.0001
3,4,120000,rpkm,2,0.00047083333333333336
3,4,120000,rpkm,3,0.0019266666666666668
3,4,120000,rpkm,4,0.008011666666666667
3,4,120000,rpkm,5,0.03309083333333333
3,4,120000,rpkm,6,0.11846749999999999
3,4,400000,rpkm,1,3.05e-05
3,4,400000,rpkm,2,0.00014575
3,4,400000,rpkm,3,0.000609
3,4,400000,rpkm,4,0.00266175
3,4,400000,rpkm,5,0.01209075
3,4,400000,rpkm,6,0.05220575000000001
3,4,1200000,rpkm,1,7.666666666666667e-06
3,4,1200000,rpkm,2,3.508333333333333e-05
3,4,1200000,rpkm,3,0.00014816666666666667
3,4,1200000,rpkm,4,0.0006409166666666666
3,4,1200000,rpkm,5,0.0030584166666666667
3,4,1200000,rpkm,6,0.015059083333333334
3,4,4000000,rpkm,1,1.1750000000000002e-06
3,4,4000000,rpkm,2,3.9e-06
3,4,4000000,rpkm,3,1.5975000000000002e-05
3,4,4000000,rpkm,4,6.5675e-05
3,4,4000000,rpkm,5,0.00030132499999999997
3,4,4000000,rpkm,6,0.001530625
3,8,4000,rpkm,1,0.007424999999999999
3,8,4000,rpkm,2,0.035425
3,8,4000,rpkm,3,0.11087499999999999
3,8,4000,rpkm,4,0.29
3,8,4000,rpkm,5,0.539525
3,8,4000,rpkm,6,0.8039
3,8,12000,rpkm,1,0.0029000000000000002
3,8,12000,rpkm,2,0.014591666666666666
3,8,12000,rpkm,3,0.053325
3,8,12000,rpkm,4,0.16605833333333334
3,8,12000,rpkm,5,0.37506666666666666
3,8,12000,rpkm,6,0.6651
3,8,40000,rpkm,1,0.0009674999999999999
3,8,40000,rpkm,2,0.0051400000000000005
3,8,40000,rpkm,3,0.02137
3,8,40000,rpkm,4,0.0786925
3,8,40000,rpkm,5,0.2229225
3,8,40000,rpkm,6,0.492
3,8,120000,rpkm,1,0.00034750000000000004
3,8,120000,rpkm,2,0.0019141666666666669
3,8,120000,rpkm,3,0.008669166666666667
3,8,120000,rpkm,4,0.03583083333333333
3,8,120000,rpkm,5,0.12362083333333333
3,8,120000,rpkm,6,0.34118499999999996
3,8,400000,rpkm,1,6.45e-05
3,8,400000,rpkm,2,0.00038475
3,8,400000,rpkm,3,0.0019037499999999998
3,8,400000,rpkm,4,0.0085965
3,8,400000,rpkm,5,0.036940249999999994
3,8,400000,rpkm,6,0.138358
3,8,1200000,rpkm,1,9.333333333333334e-06
3,8,1200000,rpkm,2,6.533333333333334e-05
3,8,1200000,rpkm,3,0.00035824999999999995
3,8,1200000,rpkm,4,0.0017465833333333333
3,8,1200000,rpkm,5,0.008603666666666666
3,8,1200000,rpkm,6,0.040639666666666664
3,8,4000000,rpkm,1,2.05e-06
3,8,4000000,rpkm,2,1.3275e-05
3,8,4000000,rpkm,3,6.935e-05
3,8,4000000,rpkm,4,0.0003633
3,8,4000000,rpkm,5,0.001865325
