n_clusters,n_dims,n_samples,algorithm,param,std_error
3,2,100.0,rpkm,1,-0.25241065017443987
3,2,100.0,rpkm,2,-0.25145714328798563
3,2,100.0,rpkm,3,-0.25047738331898645
3,2,100.0,rpkm,4,-0.2503041455380584
3,2,100.0,rpkm,5,-0.2503041455380584
3,2,100.0,rpkm,6,-0.2503041455380584
3,2,1000.0,rpkm,1,-0.6995180044645973
3,2,1000.0,rpkm,2,-0.6066641522626928
3,2,1000.0,rpkm,3,-0.20994412795094552
3,2,1000.0,rpkm,4,-0.2080219913303548
3,2,1000.0,rpkm,5,-0.20757330689939457
3,2,1000.0,rpkm,6,-0.20754695884515723
3,2,10000.0,rpkm,1,-0.6353480145233166
3,2,10000.0,rpkm,2,-0.5777206375378944
3,2,10000.0,rpkm,3,-0.1997909270208107
3,2,10000.0,rpkm,4,-0.19718128993705458
3,2,10000.0,rpkm,5,-0.19615811469589517
3,2,10000.0,rpkm,6,-0.11256799015189327
3,2,100000.0,rpkm,1,-0.6487890497835785
3,2,100000.0,rpkm,2,-0.49149606589150246
3,2,100000.0,rpkm,3,-0.2169769320665334
3,2,100000.0,rpkm,4,-0.20366599734812443
3,2,100000.0,rpkm,5,-0.11311548154199876
3,2,100000.0,rpkm,6,-0.02728172407828309
3,2,1000000.0,rpkm,1,-0.7927712463876415
3,2,1000000.0,rpkm,2,-0.7232209437625099
3,2,1000000.0,rpkm,3,-0.24922457213218055
3,2,1000000.0,rpkm,4,-0.01827831784691471
3,2,1000000.0,rpkm,5,-0.015627228899843408
3,2,1000000.0,rpkm,6,-0.015243401918195065
3,4,100.0,rpkm,1,-0.09434423571368396
3,4,100.0,rpkm,2,-0.02734164837401758
3,4,100.0,rpkm,3,-0.0005579593232520419
3,4,100.0,rpkm,4,-0.00019022978329418948
3,4,100.0,rpkm,5,-0.00019022978329418948
3,4,100.0,rpkm,6,-0.00019022978329418948
3,4,1000.0,rpkm,1,-0.1799123716750463
3,4,1000.0,rpkm,2,-0.010720159612184432
3,4,1000.0,rpkm,3,-0.004566291391751254
3,4,1000.0,rpkm,4,-0.004402804457851807
3,4,1000.0,rpkm,5,-0.004388373012864296
3,4,1000.0,rpkm,6,-0.004388373012864284
3,4,10000.0,rpkm,1,-0.1167354332349974
3,4,10000.0,rpkm,2,-0.050790123756761694
3,4,10000.0,rpkm,3,-0.0002716769560960886
3,4,10000.0,rpkm,4,-6.516574155892758e-05
3,4,10000.0,rpkm,5,-9.864662775096076e-07
3,4,10000.0,rpkm,6,-1.0722542440829657e-07
3,4,100000.0,rpkm,1,-0.16352300582742457
3,4,100000.0,rpkm,2,-0.020749779492358265
3,4,100000.0,rpkm,3,-0.00048374567656850104
3,4,100000.0,rpkm,4,-1.3530735823443406e-05
3,4,100000.0,rpkm,5,-1.1760647115399548e-06
3,4,100000.0,rpkm,6,-1.337324103873977e-07
3,4,1000000.0,rpkm,1,-0.30740700141311106
3,4,1000000.0,rpkm,2,-0.17102420608152305
3,4,1000000.0,rpkm,3,-0.0030911466090744024
3,4,1000000.0,rpkm,4,-0.0007679460694689314
3,4,1000000.0,rpkm,5,-0.00020317314516606218
3,4,1000000.0,rpkm,6,-2.398431870497297e-07
3,6,100.0,rpkm,1,-0.14690341710715865
3,6,100.0,rpkm,2,-0.0004268271558797392
3,6,100.0,rpkm,3,-0.0003753477908654246
3,6,100.0,rpkm,4,-0.0003753477908654246
3,6,100.0,rpkm,5,-0.0003753477908654246
3,6,100.0,rpkm,6,-0.0003753477908654246
3,6,1000.0,rpkm,1,-0.005995618959584443
3,6,1000.0,rpkm,2,-0.0014430325600895695
3,6,1000.0,rpkm,3,-2.8940705029155063e-05
3,6,1000.0,rpkm,4,-1.1613877631946418e-06
3,6,1000.0,rpkm,5,-1.1613877631835647e-06
3,6,1000.0,rpkm,6,-1.1613877631721897e-06
3,6,10000.0,rpkm,1,-0.005083631938650329
3,6,10000.0,rpkm,2,-0.002223025973587775
3,6,10000.0,rpkm,3,-3.146441599367143e-05
3,6,10000.0,rpkm,4,-3.2505694989359495e-07
3,6,10000.0,rpkm,5,-2.1407833927005386e-08
3,6,10000.0,rpkm,6,-1.5917214628231444e-08
3,6,100000.0,rpkm,1,-0.08662803439659686
3,6,100000.0,rpkm,2,-0.04788082108801858
3,6,100000.0,rpkm,3,-8.974759444910908e-05
3,6,100000.0,rpkm,4,-6.788865792714744e-07
3,6,100000.0,rpkm,5,-3.518360459517785e-08
3,6,100000.0,rpkm,6,-3.0037039691459778e-09
3,6,1000000.0,rpkm,1,-0.004922518115615133
3,6,1000000.0,rpkm,2,-0.0033565864564920967
3,6,1000000.0,rpkm,3,-0.0001399542191667335
3,6,1000000.0,rpkm,4,-2.333254181306122e-06
3,6,1000000.0,rpkm,5,-3.8953184645555795e-08
3,6,1000000.0,rpkm,6,-1.807720347952465e-09
3,8,100.0,rpkm,1,-0.04946626912896437
3,8,100.0,rpkm,2,-0.0002570062080026748
3,8,100.0,rpkm,3,-0.0002570062080026748
3,8,100.0,rpkm,4,-0.0002570062080026748
3,8,100.0,rpkm,5,-0.0002570062080026748
3,8,100.0,rpkm,6,-0.0002570062080026748
3,8,1000.0,rpkm,1,-0.024362864191584593
3,8,1000.0,rpkm,2,-0.020283036197911806
3,8,1000.0,rpkm,3,-5.801263439917209e-06
3,8,1000.0,rpkm,4,-5.801263439905554e-06
3,8,1000.0,rpkm,5,-5.80126343989027e-06
3,8,1000.0,rpkm,6,-5.801263439922562e-06
3,8,10000.0,rpkm,1,-0.026805631386076795
3,8,10000.0,rpkm,2,-0.0009641206839359385
3,8,10000.0,rpkm,3,-5.577889667086187e-06
3,8,10000.0,rpkm,4,-1.778101945319365e-07
3,8,10000.0,rpkm,5,-1.7781019454767042e-07
3,8,10000.0,rpkm,6,-1.778101945611683e-07
3,8,100000.0,rpkm,1,-0.03082891646789595
3,8,100000.0,rpkm,2,-0.027571097280701305
3,8,100000.0,rpkm,3,-2.2006424922903608e-05
3,8,100000.0,rpkm,4,-5.98126463854453e-08
3,8,100000.0,rpkm,5,-5.219946233200751e-09
3,8,100000.0,rpkm,6,-4.691234522579308e-09
3,8,1000000.0,rpkm,1,-0.03168036810137786
3,8,1000000.0,rpkm,2,-0.029018779928143286
3,8,1000000.0,rpkm,3,-5.506965084260339e-05
3,8,1000000.0,rpkm,4,-2.299723485563532e-07
3,8,1000000.0,rpkm,5,-4.097041890103916e-09
3,8,1000000.0,rpkm,6,-3.315312153483668e-10
9,2,100.0,rpkm,1,-1.4437705731785555
9,2,100.0,rpkm,2,-0.8219706220504428
9,2,100.0,rpkm,3,-0.7855368887816566
9,2,100.0,rpkm,4,-0.7833422426009408
9,2,100.0,rpkm,5,-0.7820508555826207
9,2,100.0,rpkm,6,-0.7820258837897188
9,2,1000.0,rpkm,1,-1.6646633860851225
9,2,1000.0,rpkm,2,-0.10652295033527619
9,2,1000.0,rpkm,3,-0.03335934375720083
9,2,1000.0,rpkm,4,-0.008723071120262134
9,2,1000.0,rpkm,5,-0.005630369739155021
9,2,1000.0,rpkm,6,-0.005511424459921912
9,2,10000.0,rpkm,1,-0.4162017657462062
9,2,10000.0,rpkm,2,-0.09697045721284718
9,2,10000.0,rpkm,3,-0.019702026075804294
9,2,10000.0,rpkm,4,-0.010018876637757312
