n_clusters,n_dims,n_samples,algorithm,param,std_error
3,2,4000,rpkm,1,-0.27871863245334744
3,2,4000,rpkm,2,-0.18466970831375834
3,2,4000,rpkm,3,-0.07747651828731454
3,2,4000,rpkm,4,-0.005044855205531331
3,2,4000,rpkm,5,-0.0007487688697422548
3,2,4000,rpkm,6,-0.0003462479435628507
3,2,12000,rpkm,1,-0.2536056260867002
3,2,12000,rpkm,2,-0.18270002314070613
3,2,12000,rpkm,3,-0.04167206859049677
3,2,12000,rpkm,4,-0.005403770751362463
3,2,12000,rpkm,5,-0.004524278467271438
3,2,12000,rpkm,6,-0.0005126064993701793
3,2,40000,rpkm,1,-0.3210401463164329
3,2,40000,rpkm,2,-0.2271507025918072
3,2,40000,rpkm,3,-0.08837800400401825
3,2,40000,rpkm,4,-0.005613993187301427
3,2,40000,rpkm,5,-0.0037474067370789495
3,2,40000,rpkm,6,-0.00015279523612439256
3,2,120000,rpkm,1,-0.27468473053120634
3,2,120000,rpkm,2,-0.1814986537597974
3,2,120000,rpkm,3,-0.08468432484573488
3,2,120000,rpkm,4,-0.0021588002478220513
3,2,120000,rpkm,5,-0.00039751888594815834
3,2,120000,rpkm,6,-0.00027054479311194125
3,2,400000,rpkm,1,-0.27630470899913867
3,2,400000,rpkm,2,-0.1825146543813232
3,2,400000,rpkm,3,-0.08491093109845506
3,2,400000,rpkm,4,-0.0021206541897107875
3,2,400000,rpkm,5,-0.00036679759143548525
3,2,400000,rpkm,6,-0.0002608121427559542
3,2,1200000,rpkm,1,-0.611465514453097
3,2,1200000,rpkm,2,-0.5178022561552599
3,2,1200000,rpkm,3,-0.16645545044651877
3,2,1200000,rpkm,4,-0.07840087048185468
3,2,1200000,rpkm,5,-0.0003919939180229936
3,2,1200000,rpkm,6,-0.00028993287393808815
3,2,4000000,rpkm,1,-2.244312152002709
3,2,4000000,rpkm,2,-1.4580663671852314
3,2,4000000,rpkm,3,-0.7201390896503164
3,2,4000000,rpkm,4,-0.13571604553724148
3,2,4000000,rpkm,5,-0.002113718723711762
3,2,4000000,rpkm,6,-0.0003430259692453493
3,4,4000,rpkm,1,-0.24845260838320007
3,4,4000,rpkm,2,-0.1310750374283091
3,4,4000,rpkm,3,-0.0692212193222835
3,4,4000,rpkm,4,-0.063051013810838
3,4,4000,rpkm,5,-0.052254823734056266
3,4,4000,rpkm,6,-6.758466631077359e-06
3,4,12000,rpkm,1,-0.32079181905299464
